timestamp,original_file,viewer,fuzz_type,payload_offset_attempted,trigger_offset_attempted,status,reason,retry_attempt,payload_validated,platform,fitting_payload_addr,fitting_offsets,success_label,confidence_score
1783708021.258896,,png_consumer,overflow_sanity,0,0,SANITY_CHECK_PASSED,Base png_consumer overflow reverse-shell sanity check,0,True,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,1,1.0
1783708021.2979019,sample_0.png,png_consumer,optimization_bypass,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708039.4121726,sample_0.png,png_consumer,optimization_bypass,8,0,FAILED,not triggered,1,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708057.5423064,sample_0.png,png_consumer,optimization_bypass,16,0,FAILED,not triggered,2,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708075.6761005,sample_0.png,png_consumer,optimization_bypass,24,0,FAILED,not triggered,3,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708093.8043778,sample_0.png,png_consumer,optimization_bypass,32,0,FAILED,not triggered,4,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708111.8875842,sample_0.png,png_consumer,uaf,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708130.039051,sample_0.png,png_consumer,uaf,8,0,FAILED,not triggered,1,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708148.1206555,sample_0.png,png_consumer,uaf,16,0,FAILED,not triggered,2,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708166.24015,sample_0.png,png_consumer,uaf,24,0,FAILED,not triggered,3,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708184.3605275,sample_0.png,png_consumer,uaf,32,0,FAILED,not triggered,4,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708202.460663,sample_0.png,png_consumer,overflow,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708220.5992303,sample_0.png,png_consumer,overflow,8,0,FAILED,not triggered,1,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708238.6860054,sample_0.png,png_consumer,overflow,16,0,FAILED,not triggered,2,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708256.775337,sample_0.png,png_consumer,overflow,24,0,FAILED,not triggered,3,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708274.8823035,sample_0.png,png_consumer,overflow,32,0,FAILED,not triggered,4,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708292.9462783,sample_0.png,png_consumer,metadata_trigger,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708311.0347142,sample_0.png,png_consumer,metadata_trigger,8,0,FAILED,not triggered,1,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708329.1251488,sample_0.png,png_consumer,metadata_trigger,16,0,FAILED,not triggered,2,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708347.2194977,sample_0.png,png_consumer,metadata_trigger,24,0,FAILED,not triggered,3,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708365.3040257,sample_0.png,png_consumer,metadata_trigger,32,0,FAILED,not triggered,4,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708383.4028919,sample_0.png,png_consumer,generic_viewer,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708401.496759,sample_0.png,png_consumer,generic_viewer,8,0,FAILED,not triggered,1,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708419.5840178,sample_0.png,png_consumer,generic_viewer,16,0,FAILED,not triggered,2,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708437.6786346,sample_0.png,png_consumer,generic_viewer,24,0,FAILED,not triggered,3,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708455.7855062,sample_0.png,png_consumer,generic_viewer,32,0,FAILED,not triggered,4,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708473.8955822,sample_0.png,png_consumer,aggressive_viewer,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708491.988446,sample_0.png,png_consumer,aggressive_viewer,8,0,FAILED,not triggered,1,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708510.091359,sample_0.png,png_consumer,aggressive_viewer,16,0,FAILED,not triggered,2,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708528.1784098,sample_0.png,png_consumer,aggressive_viewer,24,0,FAILED,not triggered,3,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708546.2735548,sample_0.png,png_consumer,aggressive_viewer,32,0,FAILED,not triggered,4,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708564.3908029,sample_0.png,png_consumer,double_free,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708582.4782827,sample_0.png,png_consumer,double_free,8,0,FAILED,not triggered,1,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708600.5936272,sample_0.png,png_consumer,double_free,16,0,FAILED,not triggered,2,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708618.6829097,sample_0.png,png_consumer,double_free,24,0,FAILED,not triggered,3,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708636.8006094,sample_0.png,png_consumer,double_free,32,0,FAILED,not triggered,4,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708654.984687,sample_0.png,PIL,metadata_trigger,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708673.1457415,sample_0.png,PIL,metadata_trigger,8,0,FAILED,not triggered,1,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708691.2373087,sample_0.png,PIL,metadata_trigger,16,0,FAILED,not triggered,2,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708709.3493302,sample_0.png,PIL,metadata_trigger,24,0,FAILED,not triggered,3,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708727.4424286,sample_0.png,PIL,metadata_trigger,32,0,FAILED,not triggered,4,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708655.1071317,sample_0.png,PIL,aggressive_viewer,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708673.3559744,sample_0.png,PIL,aggressive_viewer,8,0,FAILED,not triggered,1,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708691.4734955,sample_0.png,PIL,aggressive_viewer,16,0,FAILED,not triggered,2,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708709.5664103,sample_0.png,PIL,aggressive_viewer,24,0,FAILED,not triggered,3,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708727.6917312,sample_0.png,PIL,aggressive_viewer,32,0,FAILED,not triggered,4,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708655.113373,sample_0.png,PIL,generic_viewer,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708673.3752527,sample_0.png,PIL,generic_viewer,8,0,FAILED,not triggered,1,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708691.524286,sample_0.png,PIL,generic_viewer,16,0,FAILED,not triggered,2,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708709.6537826,sample_0.png,PIL,generic_viewer,24,0,FAILED,not triggered,3,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708727.7188733,sample_0.png,PIL,generic_viewer,32,0,FAILED,not triggered,4,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708655.4450564,sample_0.png,PIL,optimization_bypass,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708673.7184258,sample_0.png,PIL,optimization_bypass,8,0,FAILED,not triggered,1,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708691.7853522,sample_0.png,PIL,optimization_bypass,16,0,FAILED,not triggered,2,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708709.9487693,sample_0.png,PIL,optimization_bypass,24,0,FAILED,not triggered,3,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708728.0781388,sample_0.png,PIL,optimization_bypass,32,0,FAILED,not triggered,4,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708655.4830241,sample_0.png,PIL,overflow,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708673.7682555,sample_0.png,PIL,overflow,8,0,FAILED,not triggered,1,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708691.9458718,sample_0.png,PIL,overflow,16,0,FAILED,not triggered,2,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708710.0433323,sample_0.png,PIL,overflow,24,0,FAILED,not triggered,3,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708728.1748471,sample_0.png,PIL,overflow,32,0,FAILED,not triggered,4,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708655.612057,sample_0.png,PIL,double_free,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708673.8649414,sample_0.png,PIL,double_free,8,0,FAILED,not triggered,1,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708692.128394,sample_0.png,PIL,double_free,16,0,FAILED,not triggered,2,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708710.3061411,sample_0.png,PIL,double_free,24,0,FAILED,not triggered,3,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708728.4489262,sample_0.png,PIL,double_free,32,0,FAILED,not triggered,4,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708655.609903,sample_0.png,PIL,uaf,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708673.8597832,sample_0.png,PIL,uaf,8,0,FAILED,not triggered,1,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708692.1423852,sample_0.png,PIL,uaf,16,0,FAILED,not triggered,2,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708710.2728262,sample_0.png,PIL,uaf,24,0,FAILED,not triggered,3,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708728.4705276,sample_0.png,PIL,uaf,32,0,FAILED,not triggered,4,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708655.0248587,sample_0.png,firefox,metadata_trigger,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708689.3898077,sample_0.png,firefox,metadata_trigger,8,0,FAILED,not triggered,1,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708723.5608287,sample_0.png,firefox,metadata_trigger,16,0,FAILED,not triggered,2,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708757.680077,sample_0.png,firefox,metadata_trigger,24,0,FAILED,not triggered,3,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708791.871781,sample_0.png,firefox,metadata_trigger,32,0,FAILED,not triggered,4,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708654.9151518,sample_0.png,eog,metadata_trigger,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708689.3603556,sample_0.png,eog,metadata_trigger,8,0,FAILED,not triggered,1,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708723.4543076,sample_0.png,eog,metadata_trigger,16,0,FAILED,not triggered,2,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708757.6044686,sample_0.png,eog,metadata_trigger,24,0,FAILED,not triggered,3,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
